15541A0206,RT21027,THERMAL AND HYDRO LAB,24,46,2
15541A0206,RT21028,ELECTRICAL CIRCUITS LAB,23,46,2
15541A0207,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,21,12,0
15541A0207,RT21022,THERMAL AND HYDRO LRIME MOVERS,26,39,3
15541A0207,RT21023,BASIC ELECTRONICS AND DEVICES,23,31,3
15541A0207,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,19,28,3
15541A0207,RT21025,ELECTRO MAGNETIC FIELDS,25,12,0
15541A0207,RT21026,ELECTRICAL MACHINES-I,16,26,3
15541A0207,RT21027,THERMAL AND HYDRO LAB,25,46,2
15541A0207,RT21028,ELECTRICAL CIRCUITS LAB,23,46,2
15541A0208,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,20,10,0
15541A0208,RT21022,THERMAL AND HYDRO LRIME MOVERS,19,15,0
15541A0208,RT21023,BASIC ELECTRONICS AND DEVICES,26,5,0
15541A0208,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,16,49,3
15541A0208,RT21025,ELECTRO MAGNETIC FIELDS,25,28,3
15541A0208,RT21026,ELECTRICAL MACHINES-I,18,28,3
15541A0208,RT21027,THERMAL AND HYDRO LAB,24,43,2
15541A0208,RT21028,ELECTRICAL CIRCUITS LAB,21,43,2
15541A0209,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,23,34,3
15541A0209,RT21022,THERMAL AND HYDRO LRIME MOVERS,22,33,3
15541A0209,RT21023,BASIC ELECTRONICS AND DEVICES,27,8,0
15541A0209,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,20,28,3
15541A0209,RT21025,ELECTRO MAGNETIC FIELDS,26,24,3
15541A0209,RT21026,ELECTRICAL MACHINES-I,18,43,3
15541A0209,RT21027,THERMAL AND HYDRO LAB,24,45,2
15541A0209,RT21028,ELECTRICAL CIRCUITS LAB,22,45,2
15541A0210,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,18,32,3
15541A0210,RT21022,THERMAL AND HYDRO LRIME MOVERS,22,58,3
15541A0210,RT21023,BASIC ELECTRONICS AND DEVICES,21,36,3
15541A0210,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,21,26,3
15541A0210,RT21025,ELECTRO MAGNETIC FIELDS,26,28,3
15541A0210,RT21026,ELECTRICAL MACHINES-I,16,9,0
15541A0210,RT21027,THERMAL AND HYDRO LAB,25,47,2
15541A0210,RT21028,ELECTRICAL CIRCUITS LAB,24,42,2
15541A0211,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,16,0
15541A0211,RT21022,THERMAL AND HYDRO LRIME MOVERS,24,51,3
15541A0211,RT21023,BASIC ELECTRONICS AND DEVICES,23,49,3
15541A0211,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,22,12,0
15541A0211,RT21025,ELECTRO MAGNETIC FIELDS,23,34,3
15541A0211,RT21026,ELECTRICAL MACHINES-I,18,35,3
15541A0211,RT21027,THERMAL AND HYDRO LAB,25,49,2
15541A0211,RT21028,ELECTRICAL CIRCUITS LAB,23,44,2
15541A0212,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,23,7,0
15541A0212,RT21022,THERMAL AND HYDRO LRIME MOVERS,20,24,3
