14545A0412,RT32043,DIGITAL COMMUNICATIONS,21,13,0
14545A0414,RT32042,DIGITAL SIGNAL PROCESSING,23,34,3
14545A0415,RT32042,DIGITAL SIGNAL PROCESSING,21,20,0
14545A0415,RT32043,DIGITAL COMMUNICATIONS,20,14,0
14545A0415,RT32045A,BIO MEDICAL ENGINEERING,17,7,0
14545A0417,RT32042,DIGITAL SIGNAL PROCESSING,20,30,3
15545A0202,RT32024,POWER SYSTEM ANALYSIS,24,11,0
15545A0202,RT32026,POWER SEMICONDUCTOR DRIVES,21,34,3
15545A0205,RT32024,POWER SYSTEM ANALYSIS,28,29,3
15545A0205,RT32026,POWER SEMICONDUCTOR DRIVES,25,32,3
15545A0206,RT32026,POWER SEMICONDUCTOR DRIVES,20,36,3
15545A0208,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,12,0
15545A0208,RT32022,SWITCHGEAR AND PROTECTION,25,30,3
15545A0208,RT32024,POWER SYSTEM ANALYSIS,27,10,0
15545A0208,RT32026,POWER SEMICONDUCTOR DRIVES,18,25,3
15545A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,21,29,3
15545A0209,RT32026,POWER SEMICONDUCTOR DRIVES,19,27,3
15545A0211,RT32023,UTILIZATION OF ELECTRICAL ENERGY,27,14,0
15545A0211,RT32024,POWER SYSTEM ANALYSIS,29,16,0
15545A0303,RT32031,OPERATIONS RESEARCH,24,21,0
15545A0303,RT32034,ROBOTICS,17,19,0
15545A0303,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,18,15,0
15545A0303,RT32037A,REFRIGERATION & AIR CONDITIONING,16,21,0
15545A0304,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,0,0
15545A0304,RT32034,ROBOTICS,22,16,0
15545A0307,RT32034,ROBOTICS,27,17,0
15545A0307,RT32037A,REFRIGERATION & AIR CONDITIONING,22,32,3
15545A0309,RT32032,INTERACTIVE COMPUTER GRAPHICS,23,29,3
15545A0309,RT32035,HEAT TRANSFER,23,29,3
15545A0310,RT32034,ROBOTICS,23,24,3
15545A0310,RT32037A,REFRIGERATION & AIR CONDITIONING,16,34,3
15545A0401,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,20,19,0
15545A0401,RT32042,DIGITAL SIGNAL PROCESSING,17,16,0
15545A0402,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,26,24,3
15545A0402,RT32042,DIGITAL SIGNAL PROCESSING,20,26,3
15545A0402,RT32045A,BIO MEDICAL ENGINEERING,17,10,0
15545A0405,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,18,16,0
15545A0405,RT32042,DIGITAL SIGNAL PROCESSING,15,22,0
15545A0405,RT32043,DIGITAL COMMUNICATIONS,19,8,0
15545A0407,RT32042,DIGITAL SIGNAL PROCESSING,20,29,3
15545A0407,RT32043,DIGITAL COMMUNICATIONS,19,29,3
15545A0409,RT32042,DIGITAL SIGNAL PROCESSING,23,20,0
15545A0410,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,27,29,3
15545A0415,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,17,0
15545A0415,RT32042,DIGITAL SIGNAL PROCESSING,16,19,0
15545A0415,RT32043,DIGITAL COMMUNICATIONS,22,14,0
15545A0415,RT32044,MICROWAVE ENGINEERING,20,17,0
15545A0415,RT32045A,BIO MEDICAL ENGINEERING,16,5,0
15545A0416,RT32042,DIGITAL SIGNAL PROCESSING,22,25,3
15545A0416,RT32043,DIGITAL COMMUNICATIONS,18,10,0
15545A0416,RT32044,MICROWAVE ENGINEERING,18,16,0
15545A0416,RT32045A,BIO MEDICAL ENGINEERING,16,18,0
15545A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,18,17,0
15545A0417,RT32042,DIGITAL SIGNAL PROCESSING,15,23,0
15545A0417,RT32043,DIGITAL COMMUNICATIONS,18,12,0
15545A0417,RT32044,MICROWAVE ENGINEERING,18,17,0
15545A0418,RT32045A,BIO MEDICAL ENGINEERING,16,15,0
15545A0419,RT32042,DIGITAL SIGNAL PROCESSING,18,31,3
15545A0419,RT32043,DIGITAL COMMUNICATIONS,23,18,0
15545A0419,RT32044,MICROWAVE ENGINEERING,20,9,0
15545A0421,RT32043,DIGITAL COMMUNICATIONS,26,30,3
15545A0422,RT32045A,BIO MEDICAL ENGINEERING,16,24,3
15545A0426,RT32042,DIGITAL SIGNAL PROCESSING,19,39,3
15545A0426,RT32045A,BIO MEDICAL ENGINEERING,16,24,3
15545A0427,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,22,24,3
15545A0427,RT32042,DIGITAL SIGNAL PROCESSING,19,24,3
15545A0427,RT32043,DIGITAL COMMUNICATIONS,18,26,3
15545A0427,RT32044,MICROWAVE ENGINEERING,19,14,0
15545A0427,RT32045A,BIO MEDICAL ENGINEERING,22,10,0
15545A0505,RT32052,DATA WARE HOUSING AND MINING,22,29,3
15545A0506,RT32055,WEB TECHNOLOGIES,23,31,3
