12541A0409,R42045,OPERATING SYSTEMS,25,36,4
12541A0409,R4204A,TV ENGINEERING,19,39,4
12541A0409,R4204B,PROJECT,49,147,12
12541A0410,R42041,CELLULAR AND MOBILE COMMUNICATIONS,17,40,4
12541A0410,R42043,SATELLITE COMMUNICATIONS,13,7,0
12541A0410,R42045,OPERATING SYSTEMS,19,26,4
12541A0410,R4204A,TV ENGINEERING,13,13,0
12541A0410,R4204B,PROJECT,47,138,12
12541A0411,R42041,CELLULAR AND MOBILE COMMUNICATIONS,21,39,4
12541A0411,R42043,SATELLITE COMMUNICATIONS,19,28,4
12541A0411,R42045,OPERATING SYSTEMS,24,29,4
12541A0411,R4204A,TV ENGINEERING,18,41,4
12541A0411,R4204B,PROJECT,48,140,12
12541A0412,R42041,CELLULAR AND MOBILE COMMUNICATIONS,20,55,4
12541A0412,R42043,SATELLITE COMMUNICATIONS,18,37,4
12541A0412,R42045,OPERATING SYSTEMS,23,39,4
12541A0412,R4204A,TV ENGINEERING,23,34,4
12541A0412,R4204B,PROJECT,49,147,12
12541A0413,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,28,4
12541A0413,R42043,SATELLITE COMMUNICATIONS,24,34,4
12541A0413,R42045,OPERATING SYSTEMS,22,46,4
12541A0413,R4204A,TV ENGINEERING,19,30,4
12541A0413,R4204B,PROJECT,50,148,12
12541A0414,R42041,CELLULAR AND MOBILE COMMUNICATIONS,22,30,4
12541A0414,R42043,SATELLITE COMMUNICATIONS,25,41,4
12541A0414,R42045,OPERATING SYSTEMS,23,32,4
12541A0414,R4204A,TV ENGINEERING,20,59,4
12541A0414,R4204B,PROJECT,50,147,12
12541A0415,R42041,CELLULAR AND MOBILE COMMUNICATIONS,19,35,4
12541A0415,R42043,SATELLITE COMMUNICATIONS,13,18,0
12541A0415,R42045,OPERATING SYSTEMS,22,29,4
12541A0415,R4204A,TV ENGINEERING,18,37,4
12541A0415,R4204B,PROJECT,50,147,12
12541A0416,R42041,CELLULAR AND MOBILE COMMUNICATIONS,16,10,0
12541A0416,R42043,SATELLITE COMMUNICATIONS,17,37,4
12541A0416,R42045,OPERATING SYSTEMS,22,41,4
12541A0416,R4204A,TV ENGINEERING,17,33,4
12541A0416,R4204B,PROJECT,47,147,12
12541A0417,R42041,CELLULAR AND MOBILE COMMUNICATIONS,19,12,0
12541A0417,R42043,SATELLITE COMMUNICATIONS,21,17,0
12541A0417,R42045,OPERATING SYSTEMS,25,4,0
12541A0417,R4204A,TV ENGINEERING,17,13,0
12541A0417,R4204B,PROJECT,47,144,12
12541A0418,R42041,CELLULAR AND MOBILE COMMUNICATIONS,16,16,0
12541A0418,R42043,SATELLITE COMMUNICATIONS,19,11,0
12541A0418,R42045,OPERATING SYSTEMS,22,16,0
12541A0418,R4204A,TV ENGINEERING,19,14,0
12541A0418,R4204B,PROJECT,47,140,12
12541A0419,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,68,4
12541A0419,R42043,SATELLITE COMMUNICATIONS,24,50,4
12541A0419,R42045,OPERATING SYSTEMS,25,60,4
12541A0419,R4204A,TV ENGINEERING,22,55,4
12541A0419,R4204B,PROJECT,50,149,12
12541A0420,R42041,CELLULAR AND MOBILE COMMUNICATIONS,24,55,4
12541A0420,R42043,SATELLITE COMMUNICATIONS,24,37,4
12541A0420,R42045,OPERATING SYSTEMS,24,46,4
12541A0420,R4204A,TV ENGINEERING,19,46,4
12541A0420,R4204B,PROJECT,49,147,12
12541A0421,R42041,CELLULAR AND MOBILE COMMUNICATIONS,19,4,0
12541A0421,R42043,SATELLITE COMMUNICATIONS,21,26,4
12541A0421,R42045,OPERATING SYSTEMS,21,17,0
12541A0421,R4204A,TV ENGINEERING,17,36,4
12541A0421,R4204B,PROJECT,47,144,12
12541A0422,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,36,4
12541A0422,R42043,SATELLITE COMMUNICATIONS,24,38,4
12541A0422,R42045,OPERATING SYSTEMS,24,37,4
12541A0422,R4204A,TV ENGINEERING,20,66,4
12541A0422,R4204B,PROJECT,50,148,12
