15541A0202,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,31,3
15541A0202,RT22023,PULSE & DIGITAL CIRCUITS,18,36,3
15541A0202,RT22024,POWER SYSTEMS-I,26,35,3
15541A0202,RT22025,ELECTRICAL MACHINES-II,21,52,3
15541A0202,RT22026,CONTROL SYSTEMS,26,27,3
15541A0202,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0202,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,22,48,2
15541A0203,RT22021,ENVIRONMENTAL STUDIES,21,27,3
15541A0203,RT22022,SWITCHING THEORY AND LOGIC DESIGN,21,25,3
15541A0203,RT22023,PULSE & DIGITAL CIRCUITS,19,32,3
15541A0203,RT22024,POWER SYSTEMS-I,25,27,3
15541A0203,RT22025,ELECTRICAL MACHINES-II,23,34,3
15541A0203,RT22026,CONTROL SYSTEMS,22,42,3
15541A0203,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0203,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,49,2
15541A0204,RT22021,ENVIRONMENTAL STUDIES,19,39,3
15541A0204,RT22022,SWITCHING THEORY AND LOGIC DESIGN,17,24,3
15541A0204,RT22023,PULSE & DIGITAL CIRCUITS,22,39,3
15541A0204,RT22024,POWER SYSTEMS-I,23,32,3
15541A0204,RT22025,ELECTRICAL MACHINES-II,23,0,0
15541A0204,RT22026,CONTROL SYSTEMS,22,17,0
15541A0204,RT22027,ELECTRICAL MACHINES -I LAB,23,48,2
15541A0204,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,49,2
15541A0205,RT22021,ENVIRONMENTAL STUDIES,18,34,3
15541A0205,RT22022,SWITCHING THEORY AND LOGIC DESIGN,25,70,3
15541A0205,RT22023,PULSE & DIGITAL CIRCUITS,24,37,3
15541A0205,RT22024,POWER SYSTEMS-I,30,36,3
15541A0205,RT22025,ELECTRICAL MACHINES-II,27,37,3
15541A0205,RT22026,CONTROL SYSTEMS,28,48,3
15541A0205,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0205,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,48,2
15541A0206,RT22021,ENVIRONMENTAL STUDIES,20,30,3
15541A0206,RT22022,SWITCHING THEORY AND LOGIC DESIGN,17,30,3
15541A0206,RT22023,PULSE & DIGITAL CIRCUITS,26,0,0
15541A0206,RT22024,POWER SYSTEMS-I,24,17,0
15541A0206,RT22025,ELECTRICAL MACHINES-II,25,31,3
15541A0206,RT22026,CONTROL SYSTEMS,26,34,3
15541A0206,RT22027,ELECTRICAL MACHINES -I LAB,24,47,2
15541A0206,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,25,49,2
15541A0207,RT22021,ENVIRONMENTAL STUDIES,22,42,3
15541A0207,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,41,3
15541A0207,RT22023,PULSE & DIGITAL CIRCUITS,22,32,3
15541A0207,RT22024,POWER SYSTEMS-I,26,42,3
15541A0207,RT22025,ELECTRICAL MACHINES-II,25,28,3
15541A0207,RT22026,CONTROL SYSTEMS,28,39,3
15541A0207,RT22027,ELECTRICAL MACHINES -I LAB,24,47,2
15541A0207,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,23,48,2
15541A0208,RT22021,ENVIRONMENTAL STUDIES,18,41,3
15541A0208,RT22022,SWITCHING THEORY AND LOGIC DESIGN,17,24,3
15541A0208,RT22023,PULSE & DIGITAL CIRCUITS,19,32,3
15541A0208,RT22024,POWER SYSTEMS-I,19,29,3
15541A0208,RT22025,ELECTRICAL MACHINES-II,23,5,0
15541A0208,RT22026,CONTROL SYSTEMS,20,16,0
15541A0208,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0208,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,48,2
15541A0209,RT22021,ENVIRONMENTAL STUDIES,19,17,0
15541A0209,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,47,3
15541A0209,RT22023,PULSE & DIGITAL CIRCUITS,21,41,3
15541A0209,RT22024,POWER SYSTEMS-I,24,36,3
15541A0209,RT22025,ELECTRICAL MACHINES-II,26,17,0
15541A0209,RT22026,CONTROL SYSTEMS,27,33,3
15541A0209,RT22027,ELECTRICAL MACHINES -I LAB,24,47,2
15541A0209,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,25,48,2
15541A0210,RT22021,ENVIRONMENTAL STUDIES,23,34,3
15541A0210,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,55,3
15541A0210,RT22023,PULSE & DIGITAL CIRCUITS,21,31,3
15541A0210,RT22024,POWER SYSTEMS-I,28,47,3
15541A0210,RT22025,ELECTRICAL MACHINES-II,27,31,3
15541A0210,RT22026,CONTROL SYSTEMS,30,44,3
15541A0210,RT22027,ELECTRICAL MACHINES -I LAB,24,47,2
15541A0210,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,47,2
15541A0211,RT22021,ENVIRONMENTAL STUDIES,23,51,3
15541A0211,RT22022,SWITCHING THEORY AND LOGIC DESIGN,24,53,3
15541A0211,RT22023,PULSE & DIGITAL CIRCUITS,22,33,3
15541A0211,RT22024,POWER SYSTEMS-I,26,39,3
15541A0211,RT22025,ELECTRICAL MACHINES-II,26,36,3
15541A0211,RT22026,CONTROL SYSTEMS,28,39,3
15541A0211,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0211,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,25,50,2
15541A0212,RT22021,ENVIRONMENTAL STUDIES,21,45,3
15541A0212,RT22022,SWITCHING THEORY AND LOGIC DESIGN,19,24,3
15541A0212,RT22023,PULSE & DIGITAL CIRCUITS,24,48,3
15541A0212,RT22024,POWER SYSTEMS-I,25,40,3
15541A0212,RT22025,ELECTRICAL MACHINES-II,21,3,0
15541A0212,RT22026,CONTROL SYSTEMS,25,24,3
15541A0212,RT22027,ELECTRICAL MACHINES -I LAB,23,46,2
15541A0212,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,48,2
15541A0213,RT22021,ENVIRONMENTAL STUDIES,22,34,3
15541A0213,RT22022,SWITCHING THEORY AND LOGIC DESIGN,24,35,3
15541A0213,RT22023,PULSE & DIGITAL CIRCUITS,25,42,3
15541A0213,RT22024,POWER SYSTEMS-I,27,39,3
15541A0213,RT22025,ELECTRICAL MACHINES-II,28,33,3
15541A0213,RT22026,CONTROL SYSTEMS,30,40,3
15541A0213,RT22027,ELECTRICAL MACHINES -I LAB,24,48,2
15541A0213,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,24,49,2
15541A0214,RT22021,ENVIRONMENTAL STUDIES,26,32,3
15541A0214,RT22022,SWITCHING THEORY AND LOGIC DESIGN,23,41,3
15541A0214,RT22023,PULSE & DIGITAL CIRCUITS,22,24,3
15541A0214,RT22024,POWER SYSTEMS-I,27,39,3
15541A0214,RT22025,ELECTRICAL MACHINES-II,24,30,3
15541A0214,RT22026,CONTROL SYSTEMS,28,29,3
15541A0214,RT22027,ELECTRICAL MACHINES -I LAB,25,49,2
15541A0214,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,25,49,2
15541A0217,RT22021,ENVIRONMENTAL STUDIES,24,65,3
15541A0217,RT22022,SWITCHING THEORY AND LOGIC DESIGN,27,53,3
15541A0217,RT22023,PULSE & DIGITAL CIRCUITS,27,39,3
15541A0217,RT22024,POWER SYSTEMS-I,28,47,3
15541A0217,RT22025,ELECTRICAL MACHINES-II,27,43,3
15541A0217,RT22026,CONTROL SYSTEMS,30,45,3
15541A0217,RT22027,ELECTRICAL MACHINES -I LAB,25,48,2
15541A0217,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,25,50,2
15541A0218,RT22021,ENVIRONMENTAL STUDIES,21,35,3
15541A0218,RT22022,SWITCHING THEORY AND LOGIC DESIGN,25,47,3
15541A0218,RT22023,PULSE & DIGITAL CIRCUITS,22,54,3
15541A0218,RT22024,POWER SYSTEMS-I,25,51,3
