15541A0222,RT32026,POWER SEMICONDUCTOR DRIVES,27,24,3
15541A0222,RT32027,POWER ELECTRONICS LAB,24,49,2
15541A0222,RT32028,ELECTRICAL MEASUREMENTS LAB,24,48,2
15541A0223,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,30,3
15541A0223,RT32022,SWITCHGEAR AND PROTECTION,24,47,3
15541A0223,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,48,3
15541A0223,RT32024,POWER SYSTEM ANALYSIS,27,49,3
15541A0223,RT32025,MANAGEMENT SCIENCE,26,49,3
15541A0223,RT32026,POWER SEMICONDUCTOR DRIVES,25,16,0
15541A0223,RT32027,POWER ELECTRONICS LAB,23,50,2
15541A0223,RT32028,ELECTRICAL MEASUREMENTS LAB,23,48,2
15541A0224,RT32021,MICROPROCESSORS & MICROCONTROLLERS,20,24,3
15541A0224,RT32022,SWITCHGEAR AND PROTECTION,19,14,0
15541A0224,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,24,3
15541A0224,RT32024,POWER SYSTEM ANALYSIS,27,18,0
15541A0224,RT32025,MANAGEMENT SCIENCE,21,53,3
15541A0224,RT32026,POWER SEMICONDUCTOR DRIVES,21,39,3
15541A0224,RT32027,POWER ELECTRONICS LAB,24,47,2
15541A0224,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0225,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,34,3
15541A0225,RT32022,SWITCHGEAR AND PROTECTION,22,20,0
15541A0225,RT32023,UTILIZATION OF ELECTRICAL ENERGY,26,24,3
15541A0225,RT32024,POWER SYSTEM ANALYSIS,23,28,3
15541A0225,RT32025,MANAGEMENT SCIENCE,24,45,3
15541A0225,RT32026,POWER SEMICONDUCTOR DRIVES,24,24,3
15541A0225,RT32027,POWER ELECTRONICS LAB,23,48,2
15541A0225,RT32028,ELECTRICAL MEASUREMENTS LAB,24,48,2
15541A0226,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,41,3
15541A0226,RT32022,SWITCHGEAR AND PROTECTION,22,49,3
15541A0226,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,45,3
15541A0226,RT32024,POWER SYSTEM ANALYSIS,24,37,3
15541A0226,RT32025,MANAGEMENT SCIENCE,22,50,3
15541A0226,RT32026,POWER SEMICONDUCTOR DRIVES,22,36,3
15541A0226,RT32027,POWER ELECTRONICS LAB,23,47,2
15541A0226,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2
15541A0227,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,31,3
15541A0227,RT32022,SWITCHGEAR AND PROTECTION,26,51,3
15541A0227,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,53,3
15541A0227,RT32024,POWER SYSTEM ANALYSIS,27,32,3
15541A0227,RT32025,MANAGEMENT SCIENCE,27,55,3
15541A0227,RT32026,POWER SEMICONDUCTOR DRIVES,27,31,3
15541A0227,RT32027,POWER ELECTRONICS LAB,24,49,2
15541A0227,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2
15541A0228,RT32021,MICROPROCESSORS & MICROCONTROLLERS,28,36,3
15541A0228,RT32022,SWITCHGEAR AND PROTECTION,24,35,3
15541A0228,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,60,3
15541A0228,RT32024,POWER SYSTEM ANALYSIS,27,25,3
15541A0228,RT32025,MANAGEMENT SCIENCE,27,43,3
15541A0228,RT32026,POWER SEMICONDUCTOR DRIVES,26,43,3
