14541A0309,RT32035,HEAT TRANSFER,28,24,3
14541A0309,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,23,25,3
14541A0309,RT32037A,REFRIGERATION & AIR CONDITIONING,20,8,0
14541A0309,RT32038,HEAT TRANSFER LAB,22,45,2
14541A0310,RT32031,OPERATIONS RESEARCH,26,36,3
14541A0310,RT32032,INTERACTIVE COMPUTER GRAPHICS,20,24,3
14541A0310,RT32033,DESIGN OF MACHINE MEMBERS  II,27,39,3
14541A0310,RT32034,ROBOTICS,26,34,3
14541A0310,RT32035,HEAT TRANSFER,28,39,3
14541A0310,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,23,35,3
14541A0310,RT32037A,REFRIGERATION & AIR CONDITIONING,23,35,3
14541A0310,RT32038,HEAT TRANSFER LAB,23,47,2
14541A0311,RT32031,OPERATIONS RESEARCH,25,17,0
14541A0311,RT32032,INTERACTIVE COMPUTER GRAPHICS,19,32,3
14541A0311,RT32033,DESIGN OF MACHINE MEMBERS  II,21,36,3
14541A0311,RT32034,ROBOTICS,25,3,0
14541A0311,RT32035,HEAT TRANSFER,22,53,3
14541A0311,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,23,42,3
14541A0311,RT32037A,REFRIGERATION & AIR CONDITIONING,20,43,3
14541A0311,RT32038,HEAT TRANSFER LAB,22,44,2
14541A0313,RT32031,OPERATIONS RESEARCH,24,45,3
14541A0313,RT32032,INTERACTIVE COMPUTER GRAPHICS,20,16,0
14541A0313,RT32033,DESIGN OF MACHINE MEMBERS  II,25,32,3
14541A0313,RT32034,ROBOTICS,25,28,3
14541A0313,RT32035,HEAT TRANSFER,29,33,3
14541A0313,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,22,24,3
14541A0313,RT32037A,REFRIGERATION & AIR CONDITIONING,22,17,0
14541A0313,RT32038,HEAT TRANSFER LAB,22,46,2
14541A0314,RT32031,OPERATIONS RESEARCH,28,25,3
14541A0314,RT32032,INTERACTIVE COMPUTER GRAPHICS,19,30,3
14541A0314,RT32033,DESIGN OF MACHINE MEMBERS  II,27,41,3
14541A0314,RT32034,ROBOTICS,26,30,3
14541A0314,RT32035,HEAT TRANSFER,27,24,3
14541A0314,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,22,19,0
14541A0314,RT32037A,REFRIGERATION & AIR CONDITIONING,18,10,0
14541A0314,RT32038,HEAT TRANSFER LAB,24,46,2
14541A0315,RT32031,OPERATIONS RESEARCH,28,49,3
14541A0315,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,33,3
14541A0315,RT32033,DESIGN OF MACHINE MEMBERS  II,26,30,3
14541A0315,RT32034,ROBOTICS,28,31,3
14541A0315,RT32035,HEAT TRANSFER,24,14,0
14541A0315,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,24,51,3
14541A0315,RT32037A,REFRIGERATION & AIR CONDITIONING,20,13,0
14541A0315,RT32038,HEAT TRANSFER LAB,24,47,2
14541A0316,RT32031,OPERATIONS RESEARCH,27,9,0
14541A0316,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,33,3
14541A0316,RT32033,DESIGN OF MACHINE MEMBERS  II,23,33,3
14541A0316,RT32034,ROBOTICS,20,11,0
14541A0316,RT32035,HEAT TRANSFER,25,34,3
14541A0316,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,22,60,3
14541A0316,RT32037A,REFRIGERATION & AIR CONDITIONING,17,41,3
14541A0316,RT32038,HEAT TRANSFER LAB,24,46,2
14541A0317,RT32031,OPERATIONS RESEARCH,22,46,3
14541A0317,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,6,0
14541A0317,RT32033,DESIGN OF MACHINE MEMBERS  II,19,0,0
14541A0317,RT32034,ROBOTICS,24,0,0
14541A0317,RT32035,HEAT TRANSFER,20,33,3
14541A0317,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,20,0,0
14541A0317,RT32037A,REFRIGERATION & AIR CONDITIONING,16,0,0
